Ticket_ID,Customer_Email,Customer_Name,Topic,Channel,Agent_Name,CSAT_Score,Priority,Created_Date,Resolved_Date,Resolution_Hours,Status
TKT-38240,michaeldalton@example.org,Karina Fields,Technical Support,Email,Bot,,,2025-07-21,2025-06-14,47.45,
TKT-25919,craig69@example.com,Christina Simpson,Refund,Chat,Bot,5,High,2025-07-01,,3.43,Resolved
TKT-55084,kellerhaley@example.org,Mr. Mark Rodriguez,Refund,Phone,,5,L,2025-08-22,2025-08-27,39.94,Resolved
TKT-42960,edward88@example.net,Jason Ellis,,Email,Matthew,2,High,2025-02-25,,6.57,In Progress
,alangarcia@example.org,Kristen Taylor,Technical Support,Chat,Bot,5,Urgent,,2025-10-24,41.19,Closed
TKT-94284,,Daniel Brown,Refund,Pigeon Carrier,Bot,5,H,2025-02-27,2025-11-06,2.27,Resolved
TKT-49471,lauren21@example.com,Andrew Simmons,,Social Media,,4,,2025-03-25,2025-09-21,60.9,Open
,morrischristopher@example.com,Chase Conrad,Refund,Phone,Michael,4,L,2025-07-16,2025-09-04,19.72,Resolved
,,Kimb̩rly Linds̩y,Login Issue,Phone,,5,Med,2025-06-02,2025-11-21,43.82,Escalated
TKT-67607,dominguezmark@example.com,James Hogan,,Chat,Brenda,,L,2025-02-15,2025-11-01,,Closed
TKT-60548,qsmith@example.org,Robert Steele,Login Issue,Social Media,Bot,3,Medium,2025-01-04,2025-06-30,9.79,Closed
TKT-45160,johnstonnicole@example.org,Manuel Roberts,,Pigeon Carrier,Bot,4,Medium,2025-09-22,2025-09-20,56.01,Open
TKT-81651,mandyarias@example.net,Russell Bradley,Technical Support,Pigeon Carrier,,2,L,2025-02-18,2025-02-16,21.32,Open
TKT-89760,ghoward@example.net,Matthew Olson,Login Issue,Social Media,,1,Low,,2025-08-09,37.5,In Progress
TKT-42773,danielle22@example.org,Barbara Hart,Feature Request,Phone,,5,,2025-04-10,2025-04-19,62.94,In Progress
TKT-79960,anthonyaaron@example.com,Melanie Smith,Login Issue,Email,,5,High,2025-09-02,2025-06-04,46.48,In Progress
TKT-64645,danielanderson@example.net,Alex Moore,Billing,Phone,Bot,2,High,2025-03-26,2025-05-16,46.78,In Progress
TKT-67890,ipacheco@example.net,Monica Burton,,Phone,Lynn,1,High,2025-07-29,2025-05-25,23.63,Escalated
TKT-16522,crystal19@example.net,,Technical Support,Phone,Bot,,High ,2025-02-01,2025-02-09,20.39,Open
,,Roy Bishop,,Pigeon Carrier,Bot,,High,2025-01-24,2025-02-24,64.24,In Progress
TKT-28278,henrybrown@example.net,Mercedes Lopez,Billing,Phone,,,Urgent,2025-05-03,2025-11-14,65.11,Resolved
TKT-85244,edwardgill@example.com,Sarah Rodrigu̩z,Feature Request,,,3,High ,,2025-11-10,15.21,In Progress
TKT-29061,,Jonathan Gonzalez,Billing,Chaat,Natalie,5,,2025-02-11,2025-03-13,40.75,Open
TKT-65760,nthomas@example.org,Kirk Gardner,Refund,Pigeon Carrier,Julie,5,,2025-10-25,2025-07-19,42.32,Escalated
TKT-56638,prodriguez@example.com,,Feature Request,Chat,Colleen,4,Urgent,2025-11-01,2025-09-01,33.58,Escalated
TKT-83447,barnesronnie@example.org,Shane Chan,,Chat,,4,Medium,,2025-06-07,41.27,Escalated
,claytonkathleen@example.org,Sharon Harvey,Refund,Phone,,4,Low,2025-05-17,2025-08-02,28.39,Closed
,thomasjenkins@example.net,Connie Marquez,Feature Request,Pigeon Caarrier,Gabriel,,Medium,2025-06-24,2025-02-15,48.18,Resolved
TKT-21301,,Vanessa Martin,Billing,Phone,Alyssa,1,,2025-09-04,2025-07-06,70.36,Resolved
TKT-38807,tina14@example.net,Christine Mcdonald,Feature Request,Social Media,,1,Med,2025-06-15,2025-01-25,7.44,In Progress
TKT-71525,timothy87@example.net,Molly Cruz,,Social Media,,2,Urgent,2025-08-16,2025-02-20,49.85,Open
TKT-26971,crodriguez@example.org,,Feature Request,Email,,2,Urgent,2025-06-17,2025-10-07,29.33,Closed
TKT-58817,thomas15@example.net,Jesus Cruz,,Social Media,Michael,1,Medium,2025-03-29,2025-09-04,51.06,Open
TKT-87093,brianadkins@example.org,Douglas Summers,Login Issue,Phone,,4,Med,2025-07-03,2025-06-12,7.31,Open
TKT-90632,cody25@example.com,Jessica Shaw,Technical Support,Email,,1,Med,2025-06-29,2025-04-06,42.85,In Progress
,sara90@example.org,Lori Reyes,Login Issue,Phone,,1,H,2025-11-11,2025-06-02,43.4,In Progress
TKT-92877,brittanyrodriguez@example.com,Kent Garcia,Refund,Phone,Calvin,2,Low,2025-02-27,,30.8,Closed
TKT-48018,paulkelsey@example.com,Alex Henry,Technical Support,,,3,,2025-03-31,2025-06-12,58.42,
TKT-83666,johngomez@example.com,William Richardson PhD,Feature Request,,Logan,4,Medium,2025-06-11,2025-01-01,,Resolved
TKT-91471,brian78@example.com,Walter Simpson,Refund,Social Media,Bot,5,Urgent,2025-06-18,,14.23,
TKT-53406,djones@example.org,,Billing,Email,,2,High,2025-04-04,2025-01-16,71.16,Resolved
TKT-52369,,Curtis Perez,Refund,Email,Bot,5,L,2025-11-28,2025-10-29,61.33,Escalated
TKT-76896,sarahashley@example.com,Joseph Butler,Refund,Chat,,5,Low,2025-03-12,2025-10-03,41.87,Escalated
TKT-62624,anthony78@example.net,Tina Crane,Login Issue,Phone,Bot,5,Med,2025-04-09,2025-06-07,50.06,Resolved
TKT-65750,wbest@example.net,Cindy Baker,Login Issue,Pigeon Carrier,Bot,4,Urgent ,2025-07-30,2025-02-21,37.98,In Progress
,david35@example.org,Alec Baker,Refund,Email,Bot,2,Medium,2025-01-23,2025-07-14,33.25,Closed
TKT-90124,goodstephen@example.com,Drew Cannon,Login Issue,Phone,,5,L,2025-11-12,2025-11-26,23.81,Closed
TKT-47446,james60@example.org,Brenda Rosales,Billing,Email,Stephanie,2,L,2025-09-07,2025-10-01,44.18,
,jessicaking@example.com,Emily Curry,Feature Request,Social Media,Nicole,4,L,,2025-06-11,28.83,Escalated
TKT-26602,sean54@example.net,Sandra Jones,Feature Request,Social Media,,2,L,,2025-06-30,57.22,
TKT-11531,donna52@example.com,Veronica Russell,Refund,Phone,Bot,,Medium,2025-11-16,2025-11-14,69.38,Closed
TKT-95623,nchavez@example.net,David Lucero,Billing,Pigeon Carrier,,1,,2025-11-05,2025-09-30,3.07,Closed
TKT-69205,ronald82@example.net,Lisa Nguyen,Refund,Pigeon Carrier,Bot,5,,2025-07-16,2025-05-22,2.21,
TKT-24093,hughesrobert@example.org,Hector Hughes,,Chaat,,5,Urgent,,2025-03-22,,Resolved
TKT-86757,vincent50@example.net,,Refund,Email,,4,Low ,2025-02-18,2025-07-17,5.97,Resolved
TKT-88572,,Tonya Hodges,Feature Request,Phone,,4,L,,2025-03-03,58.05,Closed
TKT-88153,tcox@example.com,David Davis,Technical Support,Chat,Deanna,5,Med,2025-01-09,2025-05-26,68.7,Resolved
TKT-22252,pgardner@example.org,Christopher Holmes,Feature Request,,,5,High,2025-03-28,2025-10-20,56.25,Closed
TKT-70584,courtney23@example.net,Todd Edwards,Refund,Phone,Vincent,3,H,2025-06-02,2025-04-03,70.58,
TKT-85903,grantemma@example.org,Michelle Griffin,Login Issue,Social Media,John,3,Medium,,2025-06-30,54.43,Open
,austinadams@example.net,Elizabeth Shannon,Refund,Chat,Jamie,5,L,2025-01-15,2025-09-20,53.25,In Progress
TKT-88020,heatherparker@example.org,Andrea Martinez,Technical Support,Pigeon Carrier,Lauren,3,Low,2025-06-27,2025-03-07,39.95,Escalated
TKT-54788,cookwilliam@example.org,Patricia Smith,,Phone,,2,L,2025-11-21,,27.04,Open
TKT-14208,joseph07@example.org,Destiny Holland,Feature Request,Email,Bot,5,H,,2025-10-30,67.19,In Progress
TKT-78617,,,Billing,Chat,Bot,1,,2025-09-17,2025-01-31,40.54,Open
TKT-47689,brownharry@example.com,Sarah Baldwin,Technical Support,Phone,Bot,,Med,2025-10-15,2025-02-02,,Resolved
TKT-70788,christophersanchez@example.com,Christopher Ellis,Feature Request,Phone,Natalie,2,Med,2025-07-14,2025-11-26,34.47,Resolved
TKT-27729,vazquezrickey@example.com,Alexandra Green,Login Issue,Social Media,,2,L,2025-11-22,,48.94,Open
TKT-97995,mramirez@example.org,,Login Issue,Social Media,Bot,1,L,2025-04-09,2025-09-05,37.54,Resolved
TKT-21976,,Scott Myers,Technical Support,Email,Brian,,H,2025-04-12,2025-07-16,60.34,
TKT-98954,dhubbard@example.net,Larry Hernandez,Login Issue,,Bot,3,Urgent,2025-07-15,2025-11-15,14.97,Closed
TKT-19920,kristen28@example.net,Denise Cruz,Billing,Phone,,4,Urgent,2025-05-20,2025-07-29,15.07,Escalated
TKT-51703,mpark@example.com,Jason Garza,Billing,Email,Bot,3,Medium,2025-01-06,2025-03-25,17.71,
TKT-40274,kdunlap@example.net,Roger Brown,,Pigeon Carrier,,3,L,2025-11-30,2025-05-30,,Open
TKT-90242,philip81@example.com,John Harris,Feature Request,Social Media,,,L,2025-07-22,2025-10-15,16.72,Resolved
TKT-74860,ogray@example.org,K̩vin Martin̩z,Feature Request,,Bot,2,Urgent,2025-02-14,2025-10-24,23.8,In Progress
TKT-71915,jacobrubio@example.com,Dr. Jessica George,Billing,Pigeon Carrier,Bot,2,L,2025-05-23,2025-05-08,43.14,Escalated
TKT-61865,isaacmckinney@example.com,Joseph Lewis MD,,Chat,Bot,3,Medium,2025-02-12,2025-05-12,53.5,
TKT-90592,gsummers@example.com,Ronald Hood,Billing,Social Media,,1,Urgent,2025-02-02,2025-01-31,58.8,Resolved
TKT-57645,pamela28@example.com,Timothy Hamilton,Billing,Email,Samantha,2,High,2025-08-16,,28.25,In Progress
TKT-95248,jeffreyalvarez@example.org,Christopher Welch,Refund,Phone,,,,2025-10-17,2025-10-15,34.29,Closed
TKT-65888,gallen@example.com,Nicholas Williams,Login Issue,Email,Bot,2,Low,2025-09-01,2025-07-09,,Closed
TKT-42720,jbrandt@example.net,Joel Murphy,Refund,Pigeon Carrier,Alicia,5,H,2025-05-21,2025-09-04,67.1,
,meganoliver@example.net,Robert Chambers,,Chat,,3,Urgent,2025-03-13,,2.24,In Progress
TKT-57230,stevensmichael@example.com,Brandon Sanchez,Refund,Email,Bot,,High ,2025-06-20,,37.97,In Progress
TKT-72686,zwade@example.com,Todd Weaver,Technical Support,Pigeon Carrier,Kyle,2,,2025-04-28,2025-03-10,27.29,Open
TKT-75581,philipbarnett@example.net,,Refund,Social Media,Bot,3,High,2025-09-30,2025-06-04,59.31,In Progress
TKT-99765,rmontgomery@example.net,Aaron Taylor,Login Issue,Phone,Bot,3,H,2025-09-09,2025-04-15,4.25,In Progress
TKT-29313,batesstephanie@example.com,Annette Moss,Feature Request,,,4,Urgent,2025-05-11,,25.69,Escalated
TKT-82380,,David Moore,Login Issue,Social Media,Bot,2,Urgent,2025-02-22,2025-06-16,4.79,In Progress
TKT-43517,hfrancis@example.com,Kimberly Mason,,Chat,Bot,5,H,2025-10-19,2025-10-17,28.27,
TKT-19179,cpennington@example.com,,Feature Request,Pigeon Carrier,Anthony,3,Urgent,2025-09-07,2025-06-13,32.83,Closed
TKT-19724,adamssara@example.com,Derrick Thomas,Refund,,Bot,2,H,2025-05-28,2025-05-26,,Open
TKT-34148,rthomas@example.org,Albert Colon,Billing,Email,Stephanie,2,Med,2025-01-27,2025-09-20,9.25,Escalated
TKT-98510,hannah03@example.net,Ethan James,Login Issue,,Denise,5,High,2025-09-21,2025-01-28,54.17,Open
TKT-56061,usingh@example.org,William Torres,Technical Support,Chat,,3,Medium,2025-06-14,2025-09-07,54.81,Closed
TKT-28701,jareddelgado@example.net,Dakota Parks,Login Issue,Phone,,1,Low,2025-04-01,2025-04-16,59.31,Closed
TKT-68467,mary64@example.com,Samuel Stewart,Billing,Chat,Michael,3,High,2025-09-11,2025-07-05,11.9,
TKT-18439,richpatrick@example.net,Elaine Williams,Refund,Email,,2,L,2025-06-22,2025-07-31,19.93,Open
TKT-12540,toddkim@example.com,John Graves,Technical Support,Pigeon Carrier,Bot,1,Urgent,2025-07-07,2025-11-19,54.69,Closed
TKT-31889,jacqueline68@example.org,Kelly Carr,Feature Request,Phone,Bot,1,Urgent,2025-11-09,2025-02-01,41.31,Open
TKT-80291,danny06@example.net,William Roberts,Billing,,,2,High,2025-09-22,2025-02-24,65.7,Closed
TKT-44206,mark68@example.org,Kathleen Potter,Login Issue,Phone,Bot,1,Med,2025-04-03,2025-04-09,69.69,Closed
,tarawells@example.org,Crystal Wang,Technical Support,,Bot,3,,2025-02-22,2025-10-19,67.18,Closed
,frank17@example.org,Julie Herrera,Feature Request,Email,,1,Medium,2025-08-14,2025-11-23,20.23,
TKT-31596,prios@example.net,Anna Rivas,Login Issue,Email,Kelly,1,Medium,2025-08-16,2025-10-03,57.33,
TKT-54457,shanefowler@example.org,Christopher Ellison,,Social Media,Stanley,5,H,2025-07-09,,63.93,In Progress
,lisa31@example.com,Joseph Davis,Billing,Email,,5,Medium,2025-07-05,2025-03-25,47.78,Closed
,james63@example.org,,Technical Support,Phone,Rebecca,5,High,2025-05-08,2025-07-23,17.41,Closed
TKT-65170,,J̩ffr̩y Mcdonald,Login Issue,Phone,Bot,5,Med,,2025-08-18,46.91,Open
,,Ryan Hart,Billing,Social Media,,5,Medium ,2025-07-28,2025-11-04,40.3,
TKT-66135,troysanchez@example.com,Seth Jenkins,Technical Support,Chaat,Darryl,3,L,2025-02-25,2025-04-06,56.41,Closed
TKT-72779,abigail52@example.net,Mary Smith,Refund,Chat,Brittany,1,Medium,2025-01-14,2025-11-18,50.4,
TKT-23792,,Emily Bowen,Refund,Social Media,Michael,2,,2025-01-19,2025-01-24,46.14,In Progress
TKT-64773,donnaaustin@example.com,Krystal Mcneil,Billing,Pigeon Carrier,Bot,3,Medium,2025-07-23,2025-08-27,4.52,
TKT-98637,,Matthew Thomas,,Phone,Bot,3,L,2025-01-13,2025-03-23,20.88,Open
TKT-38381,josephryan@example.org,Gary Branch,Refund,Pigeon Carrier,,1,Med,2025-03-25,2025-03-22,49.41,Open
TKT-37819,fdougherty@example.com,Tyler Sawyer,Technical Support,Pigeon Carrier,Bot,5,Medium,2025-08-20,2025-07-05,2.55,In Progress
,james38@example.net,Julie Graham,Feature Request,Chat,,2,Med,2025-05-30,2025-09-08,53.18,Resolved
TKT-89487,emilyjones@example.org,John Bartlett,Feature Request,Social Media,Bot,2,L,2025-08-05,2025-04-27,69.37,Resolved
TKT-97546,tricia41@example.com,Lindsay Harris,Feature Request,Pigeon Carrier,,,Urgent,2025-05-29,2025-03-29,65.23,Closed
TKT-46594,batesbrenda@example.com,Alyssa Johnston,Login Issue,Email,,4,Med,2025-09-02,2025-03-23,57.23,In Progress
TKT-48156,danielsmith@example.net,Natalie Ballard,Technical Support,Pigeon Carrier,Bot,,Medium ,2025-06-14,2025-09-14,2.03,
,,Joseph Sutton,Billing,Email,Bot,,Urgent,2025-06-19,,9.63,
TKT-96597,dtownsend@example.com,Katie Butler,Technical Support,Social Media,Heather,4,L,2025-11-30,2025-04-21,31.19,In Progress
TKT-63488,fjohnston@example.net,,Refund,Chat,,3,L ,2025-09-11,2025-01-16,5.19,In Progress
TKT-67953,tmartin@example.com,,Login Issue,Email,Brittany,1,,,2025-01-18,71.89,Resolved
TKT-18426,sharoncalderon@example.net,Darius Stuart,Feature Request,Pigeon Carrier,,2,Urgent,2025-09-19,,33.91,Closed
TKT-77099,xle@example.net,Anthony Cuevas,Refund,Pigeon Carrier,Chad,,Med,2025-07-18,2025-11-18,6.02,Closed
,olsonaustin@example.com,Robert Roberts,Billing,Pigeon Carrier,Bot,4,Med ,,,6.83,Open
TKT-30565,erica93@example.com,Terri Gilbert,Feature Request,Email,,5,Urgent ,2025-09-05,2025-07-24,11.6,
TKT-73893,eileenrodriguez@example.org,Fr̩d̩rick Villa,Login Issue,Pigeon Carrier,,3,Medium,2025-06-08,2025-05-17,12.64,
,,Kelsey Holloway,Technical Support,Pigeon Carrier,,,H,,2025-02-01,20.06,In Progress
TKT-22126,thompsonlaura@example.com,Amanda Guzman,Technical Support,Phone,,,Med ,2025-10-06,2025-10-04,68.07,In Progress
TKT-27160,thomashubbard@example.net,Valerie Norton,,Pigeon Carrier,Bot,2,Low,2025-12-01,,29.66,Open
TKT-37250,vanessaadams@example.net,Cassandra Thomas,Billing,Social Media,Cynthia,2,Low,2025-03-28,2025-02-28,27.8,In Progress
TKT-93766,laura64@example.com,Audr̩y Mill̩r,Technical Support,Email,Bot,3,Low,2025-02-20,2025-01-05,47.67,In Progress
TKT-41690,jenniferfoster@example.com,Denise Garcia,Billing,Social Media,Bot,4,High,2025-08-14,2025-08-18,6.71,Closed
TKT-88428,uwilliams@example.net,,Feature Request,Phone,Bot,,Low,2025-05-10,2025-10-16,43.53,Resolved
TKT-58153,nparker@example.com,,Billing,,,,L,2025-11-02,2025-11-27,15.67,Closed
TKT-56350,josemorales@example.com,Larry Caldwell,,Pigeon Carrier,Bot,3,Urgent ,2025-10-01,,38.76,Open
TKT-13031,thompsonjeffrey@example.com,Selena Davis,Refund,Email,David,4,Urgent,,2025-03-01,,Escalated
TKT-79869,grossjackson@example.org,Bradley Davis,Login Issue,Chat,,1,H,2025-09-01,,22.85,In Progress
TKT-82695,lmyers@example.com,Chelsea Hernandez,Technical Support,Social Media,,4,Low,2025-02-14,2025-09-22,52.33,Closed
TKT-72175,jimenezjoseph@example.com,Joseph Smith,Technical Support,Chat,Bot,3,Low,2025-04-30,,57.32,Open
TKT-20391,jeffreywelch@example.org,D̩borah Trujillo,Feature Request,Phone,,2,,2025-03-08,2025-01-25,68.5,In Progress
TKT-49706,rebecca63@example.com,Stacy Curtis,,Chat,,1,,2025-05-10,2025-09-26,68.91,Open
TKT-93289,emmaevans@example.com,Jeremiah Horton,Login Issue,Sociaal Mediaa,,3,Low,2025-08-23,2025-03-06,65.8,Open
TKT-53490,waltonsheila@example.org,Michael Williams,Feature Request,,,,,2025-08-23,2025-08-13,,
TKT-80552,rpham@example.net,Laura Rice,Refund,Phone,Chelsea,5,Med,2025-11-03,2025-04-30,36.48,Closed
TKT-32452,jimenezdavid@example.net,Jared Stone,Feature Request,Email,Jennifer,5,High,2025-05-10,2025-01-28,53.26,In Progress
,matthew44@example.org,Michael Davenport,Login Issue,Pigeon Carrier,Bot,2,Low,2025-06-30,2025-06-16,13.53,Escalated
,kristawagner@example.com,Steven Smith,Refund,Pigeon Carrier,Bot,5,Med,2025-03-07,2025-09-30,22.81,In Progress
TKT-87191,morriscarol@example.com,Gerald Larson,Billing,Pigeon Carrier,Bot,3,Urgent,2025-09-11,2025-02-01,56.62,Resolved
,,Danny Parker,Technical Support,Social Media,,1,H,2025-09-23,2025-04-06,37.84,Resolved
TKT-44971,crystalmaldonado@example.org,Dr. Meghan Butler,,Email,Dawn,1,H ,2025-08-09,2025-08-07,27.22,In Progress
TKT-68575,rsawyer@example.com,Alison Swanson,Feature Request,Email,Ashley,,Medium,2025-11-10,2025-03-03,21.24,Closed
TKT-33886,curtis69@example.com,Colin Grant,Billing,Phone,Bot,3,Low,2025-07-15,2025-04-09,8.82,Closed
TKT-35778,davidholmes@example.org,Susan English,Login Issue,Email,,2,Low,2025-04-11,2025-01-29,,Resolved
TKT-55090,richard78@example.com,Alexis Martin,Feature Request,Chat,,5,Low,2025-04-01,2025-04-08,33.07,In Progress
TKT-52302,brownlisa@example.net,Brooke Shepard,Login Issue,Phone,Bot,,Medium,2025-05-09,2025-11-05,43.09,Escalated
TKT-57087,katrinajones@example.com,John Adams,Technical Support,Social Media,,1,High,2025-09-14,2025-03-01,15.36,
TKT-64380,brenda60@example.net,Christina Payne,,Phone,Stephanie,4,Low,2025-11-15,2025-04-02,16.03,Resolved
TKT-62978,vharper@example.com,Diane Reed,Login Issue,Pigeon Carrier,Julie,1,,2025-09-07,2025-04-29,49.54,In Progress
TKT-63684,bcharles@example.com,Rebecca Riley,,Sociaal Mediaa,Bot,4,L,2025-05-20,2025-01-07,17.81,Resolved
TKT-91096,qriggs@example.net,Joseph Burgess,Feature Request,Phone,Bot,5,High,2025-04-06,2025-01-06,52.51,Resolved
TKT-81081,traciezavala@example.net,Daniel Osborn,Billing,Email,,,Med,,2025-08-29,48.45,Closed
TKT-53118,barbara84@example.org,Amanda Hale,Login Issue,Social Media,Megan,1,Medium,2025-03-14,2025-02-18,13.55,Closed
TKT-35699,torresruben@example.com,Kelli Turner,Login Issue,Email,,4,Medium,2025-07-14,2025-04-18,28.38,
TKT-92804,irodriguez@example.net,Roger Patel,Login Issue,Pigeon Carrier,Sheri,3,H,2025-11-19,2025-11-21,7.95,Escalated
,zrocha@example.net,Alexander Johnson,Login Issue,Pigeon Carrier,,,Med ,2025-09-02,2025-05-19,,Escalated
TKT-70872,david40@example.org,Stephanie Murphy,Billing,Social Media,Jacob,1,Med,2025-09-09,2025-02-06,,Escalated
TKT-84419,,Lori Johnson,Refund,Email,,3,Medium,2025-10-14,2025-01-20,5.43,In Progress
TKT-12455,zhendrix@example.org,Kent Nelson,Technical Support,Email,Bot,2,L ,2025-04-06,2025-03-28,40.56,In Progress
,simpsonandrew@example.com,,Technical Support,Phone,Bot,1,L,2025-11-20,2025-09-12,5.13,Open
